# Date: 2022-05-12, 15:37:49
# Query: #x_:ROOT :: date
# Running time: 46.81s 
# Treebanks: nob-avis, nob-child, nob-fn, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-naob, nob-naob_1, nob-naob_2, nob-naob_3, nob-naob_4, nob-naob_5, nob-naob_6, nob-naob_7, nob-naob_8, nob-naob_9, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 4002
# matches: 10196734
#
# globals
# Count	date
495	2012
112	2006
50	2007
12	2007
157	2002
61	2012
142	2010
73	2003
81	2006
121	2006
169	2002
442	2012
30	2003
122	2003
405	2012
83	2006
15	2007
103	2010
259	2007
115	2007
12	2004
220	2012
51	2007
16	2008
172	2008
25	2006
496	2012
114	2008
264	2012
190	2011
62	2008
102	2007
72	2011
177	2010
39	2004
198	2011
290	2013
140	2009
649	2013
62	2013
68	2004
47	2009
14	2004
197	2004
120	2004
72	2002
119	2002
138	2002
448	2012
55	2002
15	2002
57	2006
27	2003
26	2003
150	2011
43	2006
58	2006
162	2010
239	2010
85	2008
12	2006
83	2010
47	2006
105	2008
14	2004
158	2008
103	2011
168	2010
156	2013
21	2005
110	2010
173	2012
9	2004
89	2010
296	2012
59	2002
173	2010
134	2011
68	2008
294	2013
41	2004
100	2005
132	2009
55	2003
143	2011
143	2011
195	2008
43	2004
40	2009
94	2002
95	2007
112	2011
17	2003
15	2004
1089	2012
43	2008
361	2013
19	2005
46	2008
82	2007
39	2010
47	2008
17	2004
101	2008
119	2010
368	2012
37	2003
145	2002
51	2003
972	2012
51	2004
197	2007
24	2007
93	2008
27	2002
19	2007
180	2008
61	2008
263	2010
185	2013
15	2006
651	2012
16	2007
92	2009
13	2020
11	2003
132	2010
44	2007
527	2012
1013	2012
102	2013
71	2004
39	2006
63	2010
140	2011
94	2006
180	2013
137	2011
107	2007
168	2003
130	2008
59	2002
247	2011
140	2010
107	2006
79	2009
26	2006
165	2005
134	2008
84	2006
117	2013
76	2003
11	2005
154	2011
